Designator,Mid X,Mid Y,Rotation,Layer
SW7,-6.4,-10.3725,180.0,top
SW8,-25.9,-10.3,180.0,top
U1,-25.34,15.9,-90.0,bottom
U10,57.21,20.9075,180.0,bottom
U11,52.9,13.8,90.0,bottom
U2,49.4,30.9,0.0,bottom
U3,-25.67,-0.94,180.0,bottom
U4,21.2,-4.9,0.0,bottom
U5,16.895,19.61,0.0,bottom
U6,16.9,8.525,0.0,bottom
U7,39.755,18.96,0.0,bottom
U8,39.9,8.0,0.0,bottom
U9,32.46,36.7,-90.0,bottom
Y1,-34.384619,30.092959,-90.0,bottom
